Name,Code,Price,Description,Dimensions,Thumbnail Image,Detail Image,Extra Large Image,Detail Page Link,Shopping Cart Link,Everyday,Birthday,Anniversary,Love and Romance,Get Well,New Baby,Thank You,Sympathy,Category
Best Day Bouquet,B07,84.9500,"The Best Day Bouquet is ready to create a moment your recipient will always remember! An instant mood booster with it's mix of bright bold colors, this gorgeous fresh flower arrangement brings together sunflowers, hot pink roses, purple double lisianthus, orange LA Hybrid Lilies, yellow snapdragons, green button poms, and lush greens to make this day, their best day. Presented in a clear glass vase, this fresh flower arrangement is made just for you to help you send your warmest birthday, congratulations, or get well wishes to your favorite friends and family.",15"h x 12"w,https://cdn.floristone.com/small/B07_t1.jpg,https://cdn.floristone.com/large/B07_d1.jpg,https://cdn.floristone.com/hi-res/B07_h1.jpg,http://www.floristone.com/detail.cfm?dcode=B07&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=B07&source_id=aff&affiliateid=2026051528,1,1,0,0,1,0,0,0,Vase Arrangements
Pink Posh Bouquet,B08,79.9500,"The Pink Posh Bouquet is chic and pink to help you celebrate life's most treasured moments in style! Hot pink roses are bright and beautiful arranged amongst pink Asiatic Lilies, pink stock, green button poms, bupleurum and lush greens to create that perfect gift of flowers. Presented in a clear glass vase, this blushing fresh flower arrangement is ready to send your sweetest wishes in honor of a birthday, an anniversary, or as a way to express your thanks and gratitude.",16"h x 13"w,https://cdn.floristone.com/small/B08_t1.jpg,https://cdn.floristone.com/large/B08_d1.jpg,https://cdn.floristone.com/hi-res/B08_h1.jpg,http://www.floristone.com/detail.cfm?dcode=B08&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=B08&source_id=aff&affiliateid=2026051528,1,1,1,0,0,0,1,0,Vase Arrangements
Celebration of the Season Centerpiece,B10-4368,99.9500,The Celebration of the Season Centerpiece is a grand display of holiday elegance. Red roses and spray roses pop against a backdrop of assorted holiday greens and variegated holly that beautifully encircle three red taper candles. Accented with gold pinecones and gold metallic brocade ribbon this centerpiece creates a warm and enchanting glow to benefit their holiday festivities.,7"H x 14"W,https://cdn.floristone.com/small/B10-4368_t1.jpg,https://cdn.floristone.com/large/B10-4368_d1.jpg,https://cdn.floristone.com/hi-res/B10-4368_h1.jpg,http://www.floristone.com/detail.cfm?dcode=B10-4368&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=B10-4368&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,0,Centerpieces
The Christmas Peace Bouquet,B10-4962,99.9500,"The Christmas Peace Bouquet brings beauty and grace to their home or holiday table with each elegant bloom. Rich red roses are a standout arranged amongst red carnations and mini carnations, red hypericum berries and an assortment of lush holiday greens. Accented with white pinecone pics and a red, white, and green plaid designer ribbon, this fresh flower bouquet is presented in a clear glass bubble bowl vase to create a wonderful Christmas gift for any of the special people in your life.",11"H x 12"W,https://cdn.floristone.com/small/B10-4962_t1.jpg,https://cdn.floristone.com/large/B10-4962_d1.jpg,https://cdn.floristone.com/hi-res/B10-4962_h1.jpg,http://www.floristone.com/detail.cfm?dcode=B10-4962&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=B10-4962&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,0,Centerpieces
The Christmas Coziness  Basket,B10-5139,84.9500,"Adding warmth and a homespun look to your Christmas décor, this fresh and fragrant floral arrangement is a wonderful way to bring color and life to any corner of the home. An assortment of Christmas greens and variegated holly are arranged to perfection in a rectangular stained woodchip basket, accented with clusters of red berries, natural pinecones, and a festive red plaid ribbon. A wonderful holiday gift for your relatives, neighbors, or friends throughout the yuletide season ahead ",10"H x 15"W,https://cdn.floristone.com/small/B10-5139_t1.jpg,https://cdn.floristone.com/large/B10-5139_d1.jpg,https://cdn.floristone.com/hi-res/B10-5139_h1.jpg,http://www.floristone.com/detail.cfm?dcode=B10-5139&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=B10-5139&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,0,Centerpieces
High Style Bouquet,B11,89.9500,"The High Style Bouquet is on-trend and ready to wow your special recipient with it's mix of bold and beautiful blooms! Rich red roses, Stargazer Lilies, pink Peruvian Lilies, burgundy mini carnations, pink statice, and lush greens are arranged to perfection by our floral professionals to create a gift of flowers that is set to impress. Presented in a clear glass vase, this fresh flower bouquet is a wonderful way to express your happy anniversary, happy birthday, or thinking of you wishes.",16"h x 13"w,https://cdn.floristone.com/small/B11_t1.jpg,https://cdn.floristone.com/large/B11_d1.jpg,https://cdn.floristone.com/hi-res/B11_h1.jpg,http://www.floristone.com/detail.cfm?dcode=B11&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=B11&source_id=aff&affiliateid=2026051528,1,1,1,0,0,0,0,0,Vase Arrangements
The Spirit of the Season Bouquet,B11-5132,94.9500,"A sensational splash of red to celebrate the Christmas season in style, this impressive flower bouquet is ready to get you noticed. Red roses, gerbera daisies, Peruvian Lilies, mini carnations, and hypericum berries are accented with an assortment of fresh Christmas greens to create a joyful holiday look. Presented in a ruby red glass vase, this holiday flower arrangement is a heartfelt way for you to send your warmest season's greetings.",14"H x 12"W,https://cdn.floristone.com/small/B11-5132_t1.jpg,https://cdn.floristone.com/large/B11-5132_d1.jpg,https://cdn.floristone.com/hi-res/B11-5132_h1.jpg,http://www.floristone.com/detail.cfm?dcode=B11-5132&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=B11-5132&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,0,Vase Arrangements
The Winter Wishes Basket,B12-5135,84.9500,"Taking traditional Christmas colors and turning up the volume to create a bright and brilliant arrangement, this fresh flower bouquet is ready to bring holiday joy to even the darkest corner of your recipient's home. Rich red roses and red carnations are accented with green hypericum berries, green button poms, clusters of shining red glass holiday balls, and an assortment of fragrant Christmas greens. Arranged to perfection in a white wash woodchip basket, this gift of flowers is ready to make a splash as a centerpiece, or when placed on the buffet table or side counter for their holiday gathering.",9"H x 12"W,https://cdn.floristone.com/small/B12-5135_t1.jpg,https://cdn.floristone.com/large/B12-5135_d1.jpg,https://cdn.floristone.com/hi-res/B12-5135_h1.jpg,http://www.floristone.com/detail.cfm?dcode=B12-5135&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=B12-5135&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,0,Centerpieces
Red Poinsettia Basket (Small),B13-3601,84.9500,"The traditional holiday blooming plant, a Christmas Poinsettia, with its dark leaves and deep red flowers is the perfect gift for family and friends.",6" pot,https://cdn.floristone.com/small/B11-3601_t1.jpg,https://cdn.floristone.com/large/B11-3601_d1.jpg,https://cdn.floristone.com/hi-res/B13-3601_h1.jpg,http://www.floristone.com/detail.cfm?dcode=B13-3601&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=B13-3601&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,0,Plants
Red Poinsettia Basket (Large),B13-3602,109.9500,"The traditional holiday blooming plant, a Christmas Poinsettia, with its dark leaves and deep red flowers is the perfect gift for family and friends.",8" pot,https://cdn.floristone.com/small/B11-3602_t1.jpg,https://cdn.floristone.com/large/B11-3602_d1.jpg,https://cdn.floristone.com/hi-res/B13-3602_h1.jpg,http://www.floristone.com/detail.cfm?dcode=B13-3602&source_id=aff&affiliateid=2026051528,http://www.floristone.com/cart.cfm?dcode=B13-3602&source_id=aff&affiliateid=2026051528,0,0,0,0,0,0,0,0,Plants
